Time,Source IP,Destination IP,Protocol,Port
15:48:15,52.182.143.214,10.118.49.121,TCP,49918
15:48:16,52.182.143.214,10.118.49.121,TCP,49918
15:48:18,52.182.143.214,10.118.49.121,TCP,49918
15:48:25,10.118.49.121,140.82.112.22,TCP,443
15:48:25,10.118.49.121,140.82.112.22,TCP,443
15:48:25,140.82.112.22,10.118.49.121,TCP,49921
15:48:25,140.82.112.22,10.118.49.121,TCP,49922
15:48:26,140.82.112.22,10.118.49.121,TCP,49921
15:48:26,140.82.112.22,10.118.49.121,TCP,49922
15:48:28,140.82.112.22,10.118.49.121,TCP,49922
15:48:28,140.82.112.22,10.118.49.121,TCP,49921
15:48:29,10.118.49.121,10.118.49.106,UDP,53
15:48:29,10.118.49.121,10.118.49.106,UDP,53
15:48:29,10.118.49.106,10.118.49.121,UDP,52424
15:48:29,10.118.49.106,10.118.49.121,UDP,53354
15:48:29,10.118.49.121,10.118.49.106,UDP,53
15:48:29,10.118.49.121,10.118.49.106,UDP,53
15:48:30,10.118.49.106,10.118.49.121,UDP,50416
15:48:30,10.118.49.106,10.118.49.121,UDP,55308
15:48:30,10.118.49.121,20.213.196.212,TCP,443
15:48:30,20.213.196.212,10.118.49.121,TCP,49926
15:48:30,10.118.49.121,20.213.196.212,TCP,443
15:48:30,10.118.49.121,20.213.196.212,TCP,443
15:48:30,20.213.196.212,10.118.49.121,TCP,49926
15:48:30,10.118.49.121,20.213.196.212,TCP,443
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,10.118.49.121,20.213.196.212,TCP,443
15:48:31,20.213.196.212,10.118.49.121,TCP,49926
